KO	Quantification (KEGGCharter)	Taxon (KEGGCharter)	EC (ko-column)	KO (ko-column)	KO (KEGGCharter)	EC number (KEGGCharter)
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K13420	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K13428	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K13430	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K13436	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K14498	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K14500	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K14502	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K14510	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K14758	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K14949	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K15048	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K15409	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K15904	2.7.11.1
K04757	1	Prochlorococcus	2.7.11.1	K00924,K02178,K02214,K02216,K02218,K02861,K03097,K03114,K03125,K04365,K04366,K04367,K04372,K04373,K04406,K04407,K04408,K04409,K04410,K04413,K04414,K04429,K04442,K04443,K04444,K04445,K04456,K04688,K04702,K04728,K04730,K04731,K04732,K04733,K04757,K04981,K04982,K05688,K05733,K05734,K05735,K05736,K05743,K05744,K06103,K06228,K06272,K06276,K06379,K06632,K06633,K06637,K06640,K06641,K06642,K06683,K07154,K07178,K07179,K07203,K07298,K08060,K08269,K08282,K08333,K08788,K08790,K08791,K08793,K08796,K08797,K08798,K08799,K08800,K08801,K08802,K08803,K08804,K08805,K08806,K08807,K08808,K08809,K08810,K08811,K08813,K08816,K08826,K08827,K08831,K08832,K08833,K08834,K08835,K08836,K08837,K08838,K08840,K08843,K08844,K08845,K08846,K08847,K08848,K08849,K08850,K08851,K08852,K08853,K08854,K08855,K08856,K08857,K08858,K08859,K08860,K08864,K08867,K08872,K08873,K08877,K08878,K08880,K08884,K08886,K08957,K08958,K08959,K08960,K11479,K11480,K11481,K11715,K11789,K11889,K11912,K12132,K12567,K12761,K12765,K12766,K12771,K12776,K13302,K13303,K13304,K13412,K13415,K13416,K13417,K13418,K13419,K13420,K13428,K13430,K13436,K14498,K14500,K14502,K14510,K14758,K14949,K15048,K15409,K15904,K16194,K16195,K16196,K16279,K16289,K16307,K16310,K16311,K16312,K16313,K16314,K16315,K16316,K16510,K17529,K17530,K17531,K17535,K17539,K17545,K17752,K18529,K18639,K18679,K18680,K19008,K19009,K19439,K19440,K19455,K19800,K19830,K19833,K19852,K20714,K20715,K20718,K20872,K20873,K20877,K20879,K20880,K21157,K21158,K21357,K21358,K21506,K21518,K21958,K22008,K22893,K23472,K23785,K26102,K26447,K26450,K26514,K27413,K27414,K27589,K27625,K27626,K28035,K28077,K28089	K16194	2.7.11.1
